Dimension	Tolerance	Droptol	Fillfactor	InitialNorm	ResidualNorm	NormQuotient	Iterations
4096	1e-07	1e-10	0	0.00131802	2.00422e-05	0.0152063	61
4096	1e-07	1e-10	0	0.00131802	1.5977e-05	0.012122	62
4096	1e-07	1e-10	0	0.00131802	1.60055e-05	0.0121437	63
4096	1e-07	1e-10	0	0.00131802	1.24505e-05	0.00944638	64
4096	1e-07	1e-10	0	0.00131802	1.85628e-05	0.0140839	65
4096	1e-07	1e-10	0	0.00131802	8.66208e-06	0.00657206	66
4096	1e-07	1e-10	0	0.00131802	0.000182584	0.138529	67
4096	1e-07	1e-10	0	0.00131802	3.84459e-06	0.00291695	68
4096	1e-07	1e-10	0	0.00131802	3.62734e-06	0.00275212	69
4096	1e-07	1e-10	0	0.00131802	3.74625e-06	0.00284234	70
4096	1e-07	1e-10	0	0.00131802	3.21055e-06	0.00243589	71
4096	1e-07	1e-10	0	0.00131802	3.1702e-06	0.00240528	72
4096	1e-07	1e-10	0	0.00131802	3.05368e-06	0.00231688	73
4096	1e-07	1e-10	0	0.00131802	2.30998e-06	0.00175262	74
4096	1e-07	1e-10	0	0.00131802	1.08483e-06	0.00082308	75
4096	1e-07	1e-10	0	0.00131802	1.18334e-06	0.000897819	76
4096	1e-07	1e-10	0	0.00131802	5.58542e-07	0.000423775	77
4096	1e-07	1e-10	0	0.00131802	5.203e-07	0.00039476	78
4096	1e-07	1e-10	0	0.00131802	5.29748e-07	0.000401928	79
4096	1e-07	1e-10	0	0.00131802	5.21522e-07	0.000395687	80
4096	1e-07	1e-10	0	0.00131802	3.47806e-06	0.00263886	81
4096	1e-07	1e-10	0	0.00131802	1.50946e-07	0.000114525	82
4096	1e-07	1e-10	0	0.00131802	2.76458e-07	0.000209753	83
4096	1e-07	1e-08	0	0.00131802	0.00131802	1	0
4096	1e-07	1e-08	0	0.00131802	0.0227395	17.2528	1
4096	1e-07	1e-08	0	0.00131802	0.000152847	0.115967	2
4096	1e-07	1e-08	0	0.00131802	0.000131767	0.0999739	3
4096	1e-07	1e-08	0	0.00131802	0.000141619	0.107449	4
4096	1e-07	1e-08	0	0.00131802	0.00148163	1.12413	5
4096	1e-07	1e-08	0	0.00131802	0.00106064	0.804725	6
4096	1e-07	1e-08	0	0.00131802	0.0010254	0.777989	7
4096	1e-07	1e-08	0	0.00131802	0.00119963	0.910175	8
4096	1e-07	1e-08	0	0.00131802	0.00176772	1.34119	9
4096	1e-07	1e-08	0	0.00131802	0.00114043	0.865265	10
4096	1e-07	1e-08	0	0.00131802	0.559437	424.454	11
4096	1e-07	1e-08	0	0.00131802	1.97615	1499.34	12
4096	1e-07	1e-08	0	0.00131802	0.0166768	12.653	13
4096	1e-07	1e-08	0	0.00131802	0.133383	101.2	14
4096	1e-07	1e-08	0	0.00131802	1.24496	944.569	15
4096	1e-07	1e-08	0	0.00131802	0.292553	221.965	16
4096	1e-07	1e-08	0	0.00131802	1.32015	1001.62	17
4096	1e-07	1e-08	0	0.00131802	1.40143	1063.29	18
4096	1e-07	1e-08	0	0.00131802	2.26157	1715.89	19
4096	1e-07	1e-08	0	0.00131802	0.609753	462.629	20
4096	1e-07	1e-08	0	0.00131802	27.8256	21111.7	21
4096	1e-07	1e-08	0	0.00131802	597.337	453209	22
4096	1e-07	1e-08	0	0.00131802	12.8471	9747.31	23
4096	1e-07	1e-08	0	0.00131802	112.672	85486.1	24
4096	1e-07	1e-08	0	0.00131802	17.3733	13181.4	25
4096	1e-07	1e-08	0	0.00131802	3.41777	2593.12	26
4096	1e-07	1e-08	0	0.00131802	1.26483	959.644	27
4096	1e-07	1e-08	0	0.00131802	4.75494	3607.65	28
4096	1e-07	1e-08	0	0.00131802	2.86067	2170.44	29
4096	1e-07	1e-08	0	0.00131802	3.04317	2308.9	30
4096	1e-07	1e-08	0	0.00131802	2.24246	1701.39	31
4096	1e-07	1e-08	0	0.00131802	2.53634	1924.36	32
4096	1e-07	1e-08	0	0.00131802	3.09878	2351.09	33
4096	1e-07	1e-08	0	0.00131802	1.97472	1498.25	34
4096	1e-07	1e-08	0	0.00131802	2.22125	1685.3	35
4096	1e-07	1e-08	0	0.00131802	1.24048	941.169	36
4096	1e-07	1e-08	0	0.00131802	1.30634	991.142	37
4096	1e-07	1e-08	0	0.00131802	0.869595	659.775	38
4096	1e-07	1e-08	0	0.00131802	1.06053	804.643	39
4096	1e-07	1e-08	0	0.00131802	0.303094	229.962	40
4096	1e-07	1e-08	0	0.00131802	2.1592	1638.22	41
4096	1e-07	1e-08	0	0.00131802	1.54529	1172.44	42
4096	1e-07	1e-08	0	0.00131802	7.9433	6026.71	43
4096	1e-07	1e-08	0	0.00131802	1.05742	802.283	44
4096	1e-07	1e-08	0	0.00131802	1.10601	839.151	45
4096	1e-07	1e-08	0	0.00131802	0.981123	744.393	46
4096	1e-07	1e-08	0	0.00131802	24.4643	18561.5	47
4096	1e-07	1e-08	0	0.00131802	0.0545382	41.379	48
4096	1e-07	1e-08	0	0.00131802	0.0821605	62.3364	49
4096	1e-07	1e-08	0	0.00131802	0.0119699	9.08173	50
4096	1e-07	1e-08	0	0.00131802	0.00200379	1.52031	51
4096	1e-07	1e-08	0	0.00131802	0.000236921	0.179756	52
4096	1e-07	1e-08	0	0.00131802	0.000193644	0.146921	53
4096	1e-07	1e-08	0	0.00131802	0.000182798	0.138692	54
4096	1e-07	1e-08	0	0.00131802	0.000215717	0.163668	55
4096	1e-07	1e-08	0	0.00131802	8.19819e-05	0.062201	56
4096	1e-07	1e-08	0	0.00131802	9.71152e-05	0.0736829	57
4096	1e-07	1e-08	0	0.00131802	2.86207e-05	0.021715	58
4096	1e-07	1e-08	0	0.00131802	2.763e-05	0.0209633	59
4096	1e-07	1e-08	0	0.00131802	2.15903e-05	0.0163809	60
4096	1e-07	1e-08	0	0.00131802	2.00422e-05	0.0152063	61
4096	1e-07	1e-08	0	0.00131802	1.5977e-05	0.012122	62
4096	1e-07	1e-08	0	0.00131802	1.60055e-05	0.0121437	63
4096	1e-07	1e-08	0	0.00131802	1.24505e-05	0.00944638	64
4096	1e-07	1e-08	0	0.00131802	1.85628e-05	0.0140839	65
4096	1e-07	1e-08	0	0.00131802	8.66208e-06	0.00657206	66
4096	1e-07	1e-08	0	0.00131802	0.000182584	0.138529	67
4096	1e-07	1e-08	0	0.00131802	3.84459e-06	0.00291695	68
4096	1e-07	1e-08	0	0.00131802	3.62734e-06	0.00275212	69
4096	1e-07	1e-08	0	0.00131802	3.74625e-06	0.00284234	70
4096	1e-07	1e-08	0	0.00131802	3.21055e-06	0.00243589	71
4096	1e-07	1e-08	0	0.00131802	3.1702e-06	0.00240528	72
4096	1e-07	1e-08	0	0.00131802	3.05368e-06	0.00231688	73
4096	1e-07	1e-08	0	0.00131802	2.30998e-06	0.00175262	74
4096	1e-07	1e-08	0	0.00131802	1.08483e-06	0.00082308	75
4096	1e-07	1e-08	0	0.00131802	1.18334e-06	0.000897819	76
4096	1e-07	1e-08	0	0.00131802	5.58542e-07	0.000423775	77
4096	1e-07	1e-08	0	0.00131802	5.203e-07	0.00039476	78
4096	1e-07	1e-08	0	0.00131802	5.29748e-07	0.000401928	79
4096	1e-07	1e-08	0	0.00131802	5.21522e-07	0.000395687	80
4096	1e-07	1e-08	0	0.00131802	3.47806e-06	0.00263886	81
4096	1e-07	1e-08	0	0.00131802	1.50946e-07	0.000114525	82
4096	1e-07	1e-08	0	0.00131802	2.76458e-07	0.000209753	83
4096	1e-07	1e-06	0	0.00131802	0.00131802	1	0
4096	1e-07	1e-06	0	0.00131802	0.0227395	17.2528	1
4096	1e-07	1e-06	0	0.00131802	0.000152847	0.115967	2
4096	1e-07	1e-06	0	0.00131802	0.000131767	0.0999739	3
4096	1e-07	1e-06	0	0.00131802	0.000141619	0.107449	4
4096	1e-07	1e-06	0	0.00131802	0.00148163	1.12413	5
4096	1e-07	1e-06	0	0.00131802	0.00106064	0.804725	6
4096	1e-07	1e-06	0	0.00131802	0.0010254	0.777989	7
4096	1e-07	1e-06	0	0.00131802	0.00119963	0.910175	8
4096	1e-07	1e-06	0	0.00131802	0.00176772	1.34119	9
4096	1e-07	1e-06	0	0.00131802	0.00114043	0.865265	10
4096	1e-07	1e-06	0	0.00131802	0.559437	424.454	11
4096	1e-07	1e-06	0	0.00131802	1.97615	1499.34	12
4096	1e-07	1e-06	0	0.00131802	0.0166768	12.653	13
4096	1e-07	1e-06	0	0.00131802	0.133383	101.2	14
4096	1e-07	1e-06	0	0.00131802	1.24496	944.569	15
4096	1e-07	1e-06	0	0.00131802	0.292553	221.965	16
4096	1e-07	1e-06	0	0.00131802	1.32015	1001.62	17
4096	1e-07	1e-06	0	0.00131802	1.40143	1063.29	18
4096	1e-07	1e-06	0	0.00131802	2.26157	1715.89	19
4096	1e-07	1e-06	0	0.00131802	0.609753	462.629	20
4096	1e-07	1e-06	0	0.00131802	27.8256	21111.7	21
4096	1e-07	1e-06	0	0.00131802	597.337	453209	22
4096	1e-07	1e-06	0	0.00131802	12.8471	9747.31	23
4096	1e-07	1e-06	0	0.00131802	112.672	85486.1	24
4096	1e-07	1e-06	0	0.00131802	17.3733	13181.4	25
4096	1e-07	1e-06	0	0.00131802	3.41777	2593.12	26
4096	1e-07	1e-06	0	0.00131802	1.26483	959.644	27
4096	1e-07	1e-06	0	0.00131802	4.75494	3607.65	28
4096	1e-07	1e-06	0	0.00131802	2.86067	2170.44	29
4096	1e-07	1e-06	0	0.00131802	3.04317	2308.9	30
4096	1e-07	1e-06	0	0.00131802	2.24246	1701.39	31
4096	1e-07	1e-06	0	0.00131802	2.53634	1924.36	32
4096	1e-07	1e-06	0	0.00131802	3.09878	2351.09	33
4096	1e-07	1e-06	0	0.00131802	1.97472	1498.25	34
4096	1e-07	1e-06	0	0.00131802	2.22125	1685.3	35
4096	1e-07	1e-06	0	0.00131802	1.24048	941.169	36
4096	1e-07	1e-06	0	0.00131802	1.30634	991.142	37
4096	1e-07	1e-06	0	0.00131802	0.869595	659.775	38
4096	1e-07	1e-06	0	0.00131802	1.06053	804.643	39
4096	1e-07	1e-06	0	0.00131802	0.303094	229.962	40
4096	1e-07	1e-06	0	0.00131802	2.1592	1638.22	41
4096	1e-07	1e-06	0	0.00131802	1.54529	1172.44	42
4096	1e-07	1e-06	0	0.00131802	7.9433	6026.71	43
4096	1e-07	1e-06	0	0.00131802	1.05742	802.283	44
4096	1e-07	1e-06	0	0.00131802	1.10601	839.151	45
4096	1e-07	1e-06	0	0.00131802	0.981123	744.393	46
4096	1e-07	1e-06	0	0.00131802	24.4643	18561.5	47
4096	1e-07	1e-06	0	0.00131802	0.0545382	41.379	48
4096	1e-07	1e-06	0	0.00131802	0.0821605	62.3364	49
4096	1e-07	1e-06	0	0.00131802	0.0119699	9.08173	50
4096	1e-07	1e-06	0	0.00131802	0.00200379	1.52031	51
4096	1e-07	1e-06	0	0.00131802	0.000236921	0.179756	52
4096	1e-07	1e-06	0	0.00131802	0.000193644	0.146921	53
4096	1e-07	1e-06	0	0.00131802	0.000182798	0.138692	54
4096	1e-07	1e-06	0	0.00131802	0.000215717	0.163668	55
4096	1e-07	1e-06	0	0.00131802	8.19819e-05	0.062201	56
4096	1e-07	1e-06	0	0.00131802	9.71152e-05	0.0736829	57
4096	1e-07	1e-06	0	0.00131802	2.86207e-05	0.021715	58
4096	1e-07	1e-06	0	0.00131802	2.763e-05	0.0209633	59
4096	1e-07	1e-06	0	0.00131802	2.15903e-05	0.0163809	60
4096	1e-07	1e-06	0	0.00131802	2.00422e-05	0.0152063	61
4096	1e-07	1e-06	0	0.00131802	1.5977e-05	0.012122	62
4096	1e-07	1e-06	0	0.00131802	1.60055e-05	0.0121437	63
4096	1e-07	1e-06	0	0.00131802	1.24505e-05	0.00944638	64
4096	1e-07	1e-06	0	0.00131802	1.85628e-05	0.0140839	65
4096	1e-07	1e-06	0	0.00131802	8.66208e-06	0.00657206	66
4096	1e-07	1e-06	0	0.00131802	0.000182584	0.138529	67
4096	1e-07	1e-06	0	0.00131802	3.84459e-06	0.00291695	68
4096	1e-07	1e-06	0	0.00131802	3.62734e-06	0.00275212	69
4096	1e-07	1e-06	0	0.00131802	3.74625e-06	0.00284234	70
4096	1e-07	1e-06	0	0.00131802	3.21055e-06	0.00243589	71
4096	1e-07	1e-06	0	0.00131802	3.1702e-06	0.00240528	72
4096	1e-07	1e-06	0	0.00131802	3.05368e-06	0.00231688	73
4096	1e-07	1e-06	0	0.00131802	2.30998e-06	0.00175262	74
4096	1e-07	1e-06	0	0.00131802	1.08483e-06	0.00082308	75
4096	1e-07	1e-06	0	0.00131802	1.18334e-06	0.000897819	76
4096	1e-07	1e-06	0	0.00131802	5.58542e-07	0.000423775	77
4096	1e-07	1e-06	0	0.00131802	5.203e-07	0.00039476	78
4096	1e-07	1e-06	0	0.00131802	5.29748e-07	0.000401928	79
4096	1e-07	1e-06	0	0.00131802	5.21522e-07	0.000395687	80
4096	1e-07	1e-06	0	0.00131802	3.47806e-06	0.00263886	81
4096	1e-07	1e-06	0	0.00131802	1.50946e-07	0.000114525	82
4096	1e-07	1e-06	0	0.00131802	2.76458e-07	0.000209753	83
4096	1e-07	0.0001	0	0.00131802	0.00131802	1	0
4096	1e-07	0.0001	0	0.00131802	0.0227395	17.2528	1
4096	1e-07	0.0001	0	0.00131802	0.000152847	0.115967	2
4096	1e-07	0.0001	0	0.00131802	0.000131767	0.0999739	3
4096	1e-07	0.0001	0	0.00131802	0.000141619	0.107449	4
4096	1e-07	0.0001	0	0.00131802	0.00148163	1.12413	5
4096	1e-07	0.0001	0	0.00131802	0.00106064	0.804725	6
4096	1e-07	0.0001	0	0.00131802	0.0010254	0.777989	7
4096	1e-07	0.0001	0	0.00131802	0.00119963	0.910175	8
4096	1e-07	0.0001	0	0.00131802	0.00176772	1.34119	9
4096	1e-07	0.0001	0	0.00131802	0.00114043	0.865265	10
4096	1e-07	0.0001	0	0.00131802	0.559437	424.454	11
4096	1e-07	0.0001	0	0.00131802	1.97615	1499.34	12
4096	1e-07	0.0001	0	0.00131802	0.0166768	12.653	13
4096	1e-07	0.0001	0	0.00131802	0.133383	101.2	14
4096	1e-07	0.0001	0	0.00131802	1.24496	944.569	15
4096	1e-07	0.0001	0	0.00131802	0.292553	221.965	16
4096	1e-07	0.0001	0	0.00131802	1.32015	1001.62	17
4096	1e-07	0.0001	0	0.00131802	1.40143	1063.29	18
4096	1e-07	0.0001	0	0.00131802	2.26157	1715.89	19
4096	1e-07	0.0001	0	0.00131802	0.609753	462.629	20
4096	1e-07	0.0001	0	0.00131802	27.8256	21111.7	21
4096	1e-07	0.0001	0	0.00131802	597.337	453209	22
4096	1e-07	0.0001	0	0.00131802	12.8471	9747.31	23
4096	1e-07	0.0001	0	0.00131802	112.672	85486.1	24
4096	1e-07	0.0001	0	0.00131802	17.3733	13181.4	25
4096	1e-07	0.0001	0	0.00131802	3.41777	2593.12	26
4096	1e-07	0.0001	0	0.00131802	1.26483	959.644	27
4096	1e-07	0.0001	0	0.00131802	4.75494	3607.65	28
4096	1e-07	0.0001	0	0.00131802	2.86067	2170.44	29
4096	1e-07	0.0001	0	0.00131802	3.04317	2308.9	30
4096	1e-07	0.0001	0	0.00131802	2.24246	1701.39	31
4096	1e-07	0.0001	0	0.00131802	2.53634	1924.36	32
4096	1e-07	0.0001	0	0.00131802	3.09878	2351.09	33
4096	1e-07	0.0001	0	0.00131802	1.97472	1498.25	34
4096	1e-07	0.0001	0	0.00131802	2.22125	1685.3	35
4096	1e-07	0.0001	0	0.00131802	1.24048	941.169	36
4096	1e-07	0.0001	0	0.00131802	1.30634	991.142	37
4096	1e-07	0.0001	0	0.00131802	0.869595	659.775	38
4096	1e-07	0.0001	0	0.00131802	1.06053	804.643	39
4096	1e-07	0.0001	0	0.00131802	0.303094	229.962	40
4096	1e-07	0.0001	0	0.00131802	2.1592	1638.22	41
4096	1e-07	0.0001	0	0.00131802	1.54529	1172.44	42
4096	1e-07	0.0001	0	0.00131802	7.9433	6026.71	43
4096	1e-07	0.0001	0	0.00131802	1.05742	802.283	44
4096	1e-07	0.0001	0	0.00131802	1.10601	839.151	45
4096	1e-07	0.0001	0	0.00131802	0.981123	744.393	46
4096	1e-07	0.0001	0	0.00131802	24.4643	18561.5	47
4096	1e-07	0.0001	0	0.00131802	0.0545382	41.379	48
4096	1e-07	0.0001	0	0.00131802	0.0821605	62.3364	49
4096	1e-07	0.0001	0	0.00131802	0.0119699	9.08173	50
4096	1e-07	0.0001	0	0.00131802	0.00200379	1.52031	51
4096	1e-07	0.0001	0	0.00131802	0.000236921	0.179756	52
4096	1e-07	0.0001	0	0.00131802	0.000193644	0.146921	53
4096	1e-07	0.0001	0	0.00131802	0.000182798	0.138692	54
4096	1e-07	0.0001	0	0.00131802	0.000215717	0.163668	55
4096	1e-07	0.0001	0	0.00131802	8.19819e-05	0.062201	56
4096	1e-07	0.0001	0	0.00131802	9.71152e-05	0.0736829	57
4096	1e-07	0.0001	0	0.00131802	2.86207e-05	0.021715	58
4096	1e-07	0.0001	0	0.00131802	2.763e-05	0.0209633	59
4096	1e-07	0.0001	0	0.00131802	2.15903e-05	0.0163809	60
4096	1e-07	0.0001	0	0.00131802	2.00422e-05	0.0152063	61
4096	1e-07	0.0001	0	0.00131802	1.5977e-05	0.012122	62
4096	1e-07	0.0001	0	0.00131802	1.60055e-05	0.0121437	63
4096	1e-07	0.0001	0	0.00131802	1.24505e-05	0.00944638	64
4096	1e-07	0.0001	0	0.00131802	1.85628e-05	0.0140839	65
4096	1e-07	0.0001	0	0.00131802	8.66208e-06	0.00657206	66
4096	1e-07	0.0001	0	0.00131802	0.000182584	0.138529	67
4096	1e-07	0.0001	0	0.00131802	3.84459e-06	0.00291695	68
4096	1e-07	0.0001	0	0.00131802	3.62734e-06	0.00275212	69
4096	1e-07	0.0001	0	0.00131802	3.74625e-06	0.00284234	70
