Resnorm	Droptol	Fillfactor
-2.92978e-07	0.0001	7.0
-1.75777e-06	1e-08	4.0
-1.13867e-07	1e-12	8.0
-5.32859e-08	0.0001	9.0
-2.96391e-07	1e-10	7.0
-1.13871e-07	1e-06	8.0
-1.09579e-07	0.0001	8.0
-1.13871e-07	1e-06	8.0
-1.13867e-07	1e-08	8.0
-1.60154e-06	0.01	7.0
-1.74399e-06	0.01	8.0
-1.67863e-06	1e-06	5.0
-6.2773e-07	0.0001	6.0
-1.13867e-07	1e-10	8.0
-5.23449e-07	0.01	4.0
-6.36126e-07	1e-08	6.0
-1.13867e-07	1e-10	8.0
-6.36132e-07	1e-06	6.0
-1.75777e-06	1e-06	4.0
-1.75777e-06	1e-10	4.0
-1.75684e-06	0.0001	4.0
-6.95408e-05	1e-06	0.0
-1.13867e-07	1e-08	8.0
-1.68327e-06	0.0001	5.0
-1.75777e-06	1e-06	4.0
-2.96391e-07	1e-08	7.0
-1.09579e-07	0.0001	8.0
-1.67863e-06	1e-06	5.0
-1.13871e-07	1e-06	8.0
-1.75777e-06	1e-10	4.0
-6.15677e-07	0.01	5.0
-1.75777e-06	1e-08	4.0
-6.15677e-07	0.01	5.0
-1.27024e-06	0.01	6.0
-6.2773e-07	0.0001	6.0
-5.56826e-08	1e-08	9.0
-1.75684e-06	0.0001	4.0
-1.75165e-06	0.01	9.0
-1.67863e-06	1e-08	5.0
-6.36126e-07	1e-10	6.0
-1.67863e-06	1e-10	5.0
-2.51436e-05	1e-06	3.0
-1.13867e-07	1e-10	8.0
-1.75777e-06	1e-12	4.0
-2.96391e-07	1e-12	7.0
-1.67863e-06	1e-12	5.0
-5.56826e-08	1e-08	9.0
-6.2773e-07	0.0001	6.0
-2.92978e-07	0.0001	7.0
-2.96391e-07	1e-10	7.0
-6.95408e-05	10000	7.0
-5.56826e-08	1e-10	9.0
-6.36132e-07	1e-06	6.0
-1.09579e-07	0.0001	8.0
-5.56826e-08	1e-10	9.0
-1.60154e-06	0.01	7.0
-1.27024e-06	0.01	6.0
-1.13867e-07	1e-08	8.0
-1.68327e-06	0.0001	5.0
-1.75165e-06	0.01	9.0
-1.60154e-06	0.01	7.0
-2.96391e-07	1e-08	7.0
-5.23449e-07	0.01	4.0
-1.67863e-06	1e-08	5.0
-6.36126e-07	1e-12	6.0
-5.56826e-08	1e-10	9.0
-2.96391e-07	1e-08	7.0
-1.67863e-06	1e-10	5.0
-1.67863e-06	1e-06	5.0
-5.56862e-08	1e-06	9.0
-6.95408e-05	10000	6.0
-1.13867e-07	1e-12	8.0
-6.95408e-05	100	7.0
-9.2376e-05	0.0001	2.0
-6.95408e-05	1	2.0
-2.51677e-05	0.0001	3.0
